Лицевой счет,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
0133,"0,771","0,771","0,771","0,771","0,017","0,110","0,113","0,113","0,020","0,771","-0,815","0,040"
0134,"0,000","0,390","0,237","0,237","1,074","0,097","0,360","0,360","0,360","0,776","-1,081","0,000"
0135,"0,075","0,075","0,075","2,313","-1,038","1,745","0,000","0,299","0,299","0,299","2,313","-3,209"
0136,"0,503","0,338","0,338","0,644","0,274","0,298","0,298","0,298","0,059","0,306","-0,096","0,349"
0137,"0,000","1,176","1,176","1,176","-0,491","0,336","0,336","0,336","0,028","0,089","0,346","-0,346"
0138,"0,033","0,033","0,375","-0,474","0,026","0,026","0,026","0,028","0,028","0,375","0,375","-0,869"
0139,"0,158","0,167","1,599","0,046","0,239","0,012","0,222","-0,179","0,227","-0,169","0,215","-0,215"
0140,"0,300","0,285","0,315","1,641","0,027","0,000","0,390","0,050","0,060","0,427","0,367","-0,267"
0141,"0,400","0,249","0,201","0,270","0,197","0,102","0,020","0,201","-0,136","0,204","-0,095","0,000"
0142,"0,005","0,004","0,014","0,004","0,004","0,012","0,005","0,005","0,005","-0,013","0,004","-0,002"
0143,"0,000","1,306","0,000","0,611","0,611","-0,780","0,002","0,284","-0,271","0,037","0,095","0,186"
0144,"0,148","0,148","0,148","-0,313","0,938","0,199","-0,194","0,114","-0,054","0,110","-0,006","0,121"
0145,"0,056","0,473","0,069","0,145","0,074","-0,068","0,007","0,063","-0,053","0,021","0,056","0,056"
0146,"0,310","0,310","0,746","0,746","0,028","0,028","0,028","0,028","0,028","0,746","0,746","-1,054"
0147,"0,147","0,398","-0,274","0,089","0,292","-0,222","0,016","0,091","0,002","0,017","0,090","0,000"
0148,"0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
0149,"0,916","-0,516","0,450","0,450","-0,283","0,083","0,321","-0,221","0,276","0,276","0,547","0,285"
0150,"0,120","0,120","-0,239","0,018","0,018","0,018","0,017","0,017","0,017","0,220","0,220","-0,545"
0151,"0,016","0,016","4,233","0,238","0,238","-0,476","0,342","0,384","0,384","-0,768","0,354","0,354"
0152,"0,001","0,001","0,012","0,007","0,009","0,001","0,000","0,001","0,001","0,000","0,002","-0,001"
0153,"0,153","0,153","0,153","-0,459","0,898","0,115","0,115","0,115","0,050","0,701","0,701","-0,948"
0154,"0,885","1,266","1,266","3,828","0,465","-0,172","0,048","0,074","0,086","0,233","0,424","0,000"
0155,"0,499","0,499","0,499","1,243","0,374","0,374","-0,652","0,003","0,286","-0,212","0,259","-0,259"
0156,"0,249","0,293","0,293","2,284","0,293","0,437","0,437","0,437","0,028","-1,112","0,276","0,308"
0157,"0,000","0,004","0,071","0,000","0,000","0,008","0,008","0,008","0,017","-0,022","0,005","0,000"
0158,"-0,008","0,161","0,161","1,395","0,031","0,202","0,202","0,202","-0,250","0,211","-0,194","0,197"
0159,"0,569","0,569","0,569","0,569","0,029","0,017","0,017","0,017","0,017","0,536","0,536","-1,149"
0160,"0,224","0,224","2,359","0,319","0,119","0,312","-0,013","0,325","-0,182","0,326","0,212","0,371"
0161,"0,002","0,002","0,002","0,034","-0,022","0,003","0,003","0,003","0,034","-0,039","0,002","-0,003"
0162,"0,134","0,139","0,275","0,392","0,100","0,130","0,130","-0,211","0,132","0,132","-0,152","0,012"
0163,"0,060","0,200","0,500","0,600","0,390","0,135","0,110","0,658","0,658","-0,701","0,370","0,280"
0164,"0,150","0,150","0,150","-0,150","0,370","0,095","0,120","0,000","0,113","0,387","0,145","0,145"
0165,"0,476","0,476","0,476","0,476","0,066","0,066","0,017","0,038","0,038","0,194","0,055","0,068"
0166,"0,307","0,508","0,322","0,629","0,000","0,156","-0,151","0,007","0,156","-0,137","0,515","0,377"
0167,"0,000","0,000","0,004","-0,004","0,000","0,000","0,000","0,001","-0,001","0,060","0,000","0,000"
0168,"0,612","0,612","0,612","0,612","0,133","0,133","0,133","0,133","0,133","0,612","0,090","0,612"
0169,"0,260","0,040","0,600","0,650","0,250","0,050","0,000","0,002","0,008","0,230","0,230","0,230"
0170,"0,209","0,209","0,209","2,744","0,084","0,084","-0,358","0,366","0,366","0,366","-0,348","0,000"
0171,"0,057","0,057","0,001","0,934","0,119","0,119","-0,118","0,087","0,106","0,036","0,129","-0,129"
0172,"0,576","0,576","0,576","-1,728","0,000","0,000","0,000","0,000","0,000","0,000","0,576","-0,573"
0173,"0,280","0,280","0,470","-1,309","0,106","0,106","0,106","0,028","0,028","0,470","0,470","-1,039"
0174,"0,212","0,212","0,957","0,251","0,195","0,213","-0,197","0,222","-0,186","0,192","0,092","0,248"
0175,"0,118","0,118","0,356","-0,711","0,015","0,015","1,451","0,126","-0,088","0,126","0,126","-0,253"
0176,"0,176","-0,115","0,125","0,065","0,104","0,000","0,031","-0,031","0,001","0,024","0,024","0,024"
0177,"0,043","0,043","1,587","0,177","0,177","0,177","-0,495","0,135","-0,075","0,080","0,150","0,122"
0178,"0,217","1,713","0,324","0,600","0,376","0,376","0,376","0,033","0,033","-0,771","0,343","0,343"
0179,"0,403","0,472","0,395","0,205","0,127","0,204","-0,074","0,211","-0,111","0,100","0,100","0,200"
0180,"0,185","0,185","2,101","0,100","0,117","0,100","0,145","0,145","0,145","0,115","0,250","0,110"
0181,"0,000","0,000","0,000","0,505","0,028","-0,023","0,000","0,000","0,006","0,005","0,006","0,002"
0182,"0,000","2,097","1,000","0,600","5,770","-0,423","0,441","0,441","0,441","0,988","-2,110","0,288"
0183,"0,250","0,200","-0,050","0,100","0,150","0,200","0,030","0,132","0,132","0,132","0,696","-1,000"
0184,"0,389","0,389","0,389","-1,166","0,173","0,173","0,173","0,083","0,083","0,578","0,578","-1,841"
0185,"0,419","0,272","0,339","0,540","-0,438","0,440","0,388","-0,374","0,332","0,332","-0,118","0,205"
0186,"0,652","0,510","0,647","0,744","0,042","0,009","0,014","0,014","0,200","0,003","0,185","0,000"
