Лицевой счет,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь
0165,"0,501","0,257","0,200","0,094","0,114","0,009","0,008","0,129","0,129"
0166,"0,224","0,224","-0,443","0,144","-0,133","0,078","0,078","0,078","0,028"
0167,"0,000","0,000","0,005","0,005","-0,002","0,006","0,006","0,006","0,100"
0168,"0,612","-0,152","0,322","-0,172","0,310","0,076","0,024","0,033","0,210"
0169,"-0,671","0,070","0,137","0,137","0,137","0,112","1,341","0,164","-0,149"
0170,"0,327","0,327","0,340","0,329","-0,318","0,291","0,291","0,291","0,084"
0171,"0,372","0,107","0,132","0,018","0,050","0,059","0,078","-0,013","0,079"
0172,"0,000","0,000","0,000","0,000","1,511","0,116","-0,095","0,128","0,128"
0173,"0,021","0,021","0,021","0,246","0,049","0,049","0,049","0,028","0,028"
0174,"0,248","0,146","0,201","0,272","0,074","0,006","0,118","-0,094","0,118"
0175,"0,095","0,115","0,115","-0,223","0,135","0,135","0,135","0,050","0,050"
0176,"-0,073","0,027","0,027","0,027","0,017","0,017","0,017","0,017","0,017"
0177,"0,030","0,165","-0,065","0,143","0,050","0,055","0,005","0,030","-0,168"
0178,"0,343","0,501","-1,011","0,157","0,092","0,515","0,122","0,120","0,121"
0179,"0,340","0,350","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
0180,"0,440","0,284","0,484","0,302","0,149","0,025","0,025","0,004","0,000"
0181,"0,002","-0,001","0,002","0,004","0,182","0,000","0,000","0,000","0,017"
0182,"0,288","0,288","1,136","0,225","1,075","0,285","0,715","0,345","0,345"
0183,"-0,031","0,057","0,353","0,079","0,001","0,065","-0,047","0,017","0,045"
0184,"0,000","0,000","0,000","0,000","0,083","0,083","0,083","0,083","0,083"
0185,"0,025","0,162","0,162","-0,206","0,234","0,132","0,132","0,132","0,083"
0186,"0,794","0,000","0,000","0,000","0,000","0,000","0,101","0,101","0,101"
